GeneID	Locus.ID	Accession	HCT-116 Z-score	HKE-3 Z-score	D Z-score
MYO5A	4644	NM_000259	-0.84	-1.62	0.78
PGAM1	5223	NM_002629	0.26	-0.52	0.78
CKLFSF7	112616	NM_138410	1.55	0.77	0.78
IL13RA2	3598	NM_000640	1.01	0.23	0.78
TOLLIP	54472	NM_019009	2.37	1.59	0.78
PKD2L1	9033	NM_016112	2.19	1.41	0.78
DDB1	1642	NM_001923	0.29	-0.49	0.78
CCT6B	10693	NM_006584	0	-0.78	0.78
GJA5	2702	NM_005266	0.8	0.02	0.78
ELAVL3	1995	NM_001420	0.29	-0.49	0.78
RAB40A	142684	NM_080879	0.11	-0.67	0.78
TAF7L	54457	NM_024885	1.32	0.54	0.78
UBE2G1	7326	NM_003342	-0.3	-1.08	0.78
MMP3	4314	NM_002422	-0.15	-0.93	0.78
POLD1	5424	NM_002691	0.53	-0.25	0.78
PAPD5	64282	NM_022447	0.22	-0.56	0.78
PTPDC1	138639	NM_152422	0.94	0.16	0.78
NDP52	10241	NM_005831	1.68	0.9	0.78
PFKFB1	5207	NM_002625	2.15	1.37	0.78
GNAQ	2776	NM_002072	2.32	1.54	0.78
RPS3	6188	NM_001005	2.01	1.23	0.78
APPL	26060	NM_012096	1.04	0.27	0.77
TPM4	7171	NM_003290	3.18	2.41	0.77
ALB	213	NM_000477	0.51	-0.26	0.77
EBI3	10148	NM_005755	1	0.23	0.77
EEF2	1938	NM_001961	0.77	0	0.77
HSAJ2425	55566	NM_017532	0.07	-0.7	0.77
MGC16385	92806	NM_145039	-0.26	-1.03	0.77
PC-LKC	54825	NM_017675	0.25	-0.52	0.77
ADD2	119	NM_001617	1.76	0.99	0.77
DACH2	117154	NM_053281	0.5	-0.27	0.77
WASL	8976	NM_003941	0.02	-0.75	0.77
HIVEP3	59269	NM_024503	0.47	-0.3	0.77
LBX1	10660	NM_006562	0.98	0.21	0.77
NSEP1	4904	NM_004559	-0.2	-0.97	0.77
PLAGL2	5326	NM_002657	1.24	0.47	0.77
EIF4E	1977	NM_001968	0.07	-0.7	0.77
ADSS	159	NM_001126	0.28	-0.49	0.77
DBH	1621	NM_000787	0.19	-0.58	0.77
MUT	4594	NM_000255	-0.23	-1	0.77
CPNE3	8895	NM_003909	-0.69	-1.46	0.77
LTA	4049	NM_000595	1.68	0.91	0.77
CDSN	1041	NM_001264	1.17	0.4	0.77
TAL2	6887	NM_005421	-0.05	-0.82	0.77
RAD51C	5889	NM_002876	-0.65	-1.42	0.77
PDGFA	5154	NM_002607	2.53	1.76	0.77
ZBTB16	7704	NM_006006	2.01	1.24	0.77
P2RX2	22953	NM_012226	4.53	3.77	0.76
SCNN1A	6337	NM_001038	2.16	1.4	0.76
RIPK2	8767	NM_003821	0.83	0.07	0.76
THEDC1	55301	NM_018324	-0.16	-0.92	0.76
INPP4B	8821	NM_003866	0.81	0.05	0.76
RAD18	56852	NM_020165	0.33	-0.43	0.76
CGB8	94115	NM_033183	-0.22	-0.98	0.76
NDRG1	10397	NM_006096	2.48	1.72	0.76
SCML2	10389	NM_006089	0.29	-0.47	0.76
SRRM2	23524	NM_016333	0.48	-0.28	0.76
DSG3	1830	NM_001944	-0.09	-0.85	0.76
RAB40B	10966	NM_006822	0.22	-0.54	0.76
SERPINA1	5265	NM_000295	-0.08	-0.84	0.76
AHCYL1	10768	NM_006621	0.5	-0.26	0.76
TNNI2	7136	NM_003282	1.22	0.46	0.76
VAV3	10451	NM_006113	-0.46	-1.22	0.76
FUBP1	8880	NM_003902	-0.58	-1.33	0.75
MGC4796	83931	NM_032017	0.81	0.06	0.75
PNKP	11284	NM_007254	1.98	1.23	0.75
EDG4	9170	NM_004720	1.46	0.71	0.75
OR1D4	8385	NM_003552	1.25	0.5	0.75
PDE3A	5139	NM_000921	0.05	-0.7	0.75
WWP2	11060	NM_007014	0.64	-0.11	0.75
ARHGEF1	9138	NM_004706	1.69	0.94	0.75
CDC16	8881	NM_003903	0.14	-0.61	0.75
DDA3	84722	NM_032636	0.9	0.15	0.75
LAMP2	3920	NM_002294	0.07	-0.68	0.75
PEPD	5184	NM_000285	0.54	-0.21	0.75
PGRMC1	10857	NM_006667	0.74	-0.01	0.75
HIP-55	28988	NM_014063	0.15	-0.6	0.75
PRDM14	63978	NM_024504	-0.21	-0.96	0.75
PRDM9	56979	NM_020227	-0.1	-0.85	0.75
PRF1	5551	NM_005041	0.05	-0.7	0.75
SNAI1	6615	NM_005985	-0.19	-0.94	0.75
TCP1	6950	NM_030752	-0.34	-1.09	0.75
ALDH5A1	7915	NM_001080	-0.04	-0.79	0.75
MRAS	22808	NM_012219	-0.33	-1.08	0.75
PPP2R2C	5522	NM_020416	-0.54	-1.29	0.75
GSCL	2928	NM_005315	1.35	0.61	0.74
RANGAP1	5905	NM_002883	-0.38	-1.12	0.74
ALK	238	NM_004304	2	1.26	0.74
GPR91	56670	NM_033050	0.84	0.1	0.74
CTPS	1503	NM_001905	-0.29	-1.03	0.74
E2-230K	63893	NM_022066	-0.05	-0.79	0.74
LSS	4047	NM_002340	0.18	-0.56	0.74
RORB	6096	NM_006914	1.01	0.27	0.74
CDC42	998	NM_001791	0.68	-0.06	0.74
HTLF	3344	NM_002158	0.5	-0.24	0.74
IFRG28	64108	NM_022147	0.51	-0.23	0.74
P2RX5	5026	NM_002561	0.68	-0.06	0.74
PSMD4	5710	NM_002810	0.59	-0.15	0.74
DRG1	4733	NM_004147	-0.32	-1.06	0.74
RFC2	5982	NM_002914	0.23	-0.51	0.74
HCFC1	3054	NM_005334	-0.14	-0.88	0.74
HOXA1	3198	NM_005522	0	-0.74	0.74
MAF	4094	NM_005360	-0.79	-1.53	0.74
RAB27B	5874	NM_004163	0.52	-0.22	0.74
GPS2	2874	NM_004489	0.11	-0.63	0.74
SPG7	6687	NM_003119	1.65	0.91	0.74
TFEB	7942	NM_007162	2.05	1.31	0.74
MRTF-B	57496	NM_014048	1.11	0.38	0.73
ARHGEF2	9181	NM_004723	-0.61	-1.34	0.73
NFKB2	4791	NM_002502	-0.38	-1.11	0.73
SERPINB3	6317	NM_006919	-0.6	-1.33	0.73
SPINK1	6690	NM_003122	-0.82	-1.55	0.73
CSNK2A2	1459	NM_001896	4.12	3.39	0.73
DECR1	1666	NM_001359	-0.3	-1.03	0.73
PCSK6	5046	NM_002570	-0.05	-0.78	0.73
QDPR	5860	NM_000320	-0.09	-0.82	0.73
KIF1C	10749	NM_006612	2.86	2.13	0.73
MTMR4	9110	NM_004687	2.13	1.4	0.73
BPI	671	NM_001725	3.04	2.31	0.73
DOC-1R	10263	NM_005851	1.15	0.42	0.73
MDC1	9656	NM_014641	0.71	-0.02	0.73
MR-1	25953	NM_015488	2.04	1.31	0.73
RCP	80223	NM_025151	0.39	-0.34	0.73
CD58	965	NM_001779	-0.3	-1.03	0.73
RS1	6247	NM_000330	0.55	-0.18	0.73
TARBP2	6895	NM_004178	-0.26	-0.99	0.73
CBX4	8535	NM_003655	-0.23	-0.96	0.73
HLX1	3142	NM_021958	0.11	-0.62	0.73
PRDM1	639	NM_001198	0.06	-0.67	0.73
ADPRTL1	143	NM_006437	1.9	1.17	0.73
AKAP12	9590	NM_005100	-0.21	-0.94	0.73
AMT	275	NM_000481	0.19	-0.54	0.73
RHOF	54509	NM_019034	1.05	0.32	0.73
TUBA2	7278	NM_006001	0.18	-0.55	0.73
ATP8B1	5205	NM_005603	-0.47	-1.2	0.73
RAB36	9609	NM_004914	0.54	-0.19	0.73
ADAMTS5	11096	NM_007038	-0.79	-1.52	0.73
MYL4	4635	NM_002476	2.95	2.23	0.72
HDHD4	140838	NM_152667	0.05	-0.67	0.72
IGHMBP2	3508	NM_002180	1.36	0.64	0.72
CFTR	1080	NM_000492	-0.86	-1.58	0.72
PTGS2	5743	NM_000963	-0.65	-1.37	0.72
ADAM22	53616	NM_004194	-0.62	-1.34	0.72
PRPS1L1	221823	NM_175886	1.18	0.46	0.72
GPR92	57121	NM_020400	0.95	0.23	0.72
BLVRA	644	NM_000712	0.03	-0.69	0.72
FAH	2184	NM_000137	0.22	-0.5	0.72
GSTM1	2944	NM_000561	0.9	0.18	0.72
INPP5E	56623	NM_019892	0.64	-0.08	0.72
GALR3	8484	NM_003614	0.38	-0.34	0.72
KIAA1217	56243	NM_019590	0.25	-0.47	0.72
F11R	50848	NM_016946	0.77	0.05	0.72
MGAM	8972	NM_004668	0.92	0.2	0.72
XG	7499	NM_175569	-0.13	-0.85	0.72
SCARB2	950	NM_005506	0.39	-0.33	0.72
POU3F4	5456	NM_000307	1.28	0.56	0.72
DNASE2	1777	NM_001375	-0.1	-0.82	0.72
SPG3A	51062	NM_015915	-0.25	-0.97	0.72
GAS8	2622	NM_001481	-0.33	-1.05	0.72
PRPF4B	8899	NM_003913	1.12	0.41	0.71
PLAT	5327	NM_000930	-0.1	-0.81	0.71
KCNH3	23416	NM_012284	1.57	0.86	0.71
KCNA6	3742	NM_002235	0.79	0.08	0.71
NFKBIE	4794	NM_004556	0.93	0.22	0.71
XPNPEP2	7512	NM_003399	-0.08	-0.79	0.71
MMP17	4326	NM_016155	-0.58	-1.29	0.71
GPHN	10243	NM_020806	-0.29	-1	0.71
C7orf6	219285	NM_152703	0.96	0.25	0.71
GUCA1A	2978	NM_000409	1.46	0.75	0.71
ILK-2	55522	AJ277481	-0.29	-1	0.71
LFNG	3955	XM_496845	-0.02	-0.73	0.71
HSD3B1	3283	NM_000862	-0.49	-1.2	0.71
STK11IP	114790	NM_052902	2.75	2.04	0.71
TSPYL5	85453	NM_033512	-0.48	-1.19	0.71
PNRC1	10957	NM_006813	0.1	-0.61	0.71
GUCA1B	2979	NM_002098	0.64	-0.07	0.71
LMX1B	4010	NM_002316	-0.01	-0.72	0.71
TAF1B	9014	NM_005680	-0.3	-1.01	0.71
TCEA1	6917	NM_006756	-0.52	-1.23	0.71
UBPH	56061	NM_019116	-0.3	-1.01	0.71
TXNDC4	23071	XM_088476	-0.04	-0.75	0.71
GLRX2	51022	NM_016066	0.56	-0.14	0.7
CNTFR	1271	NM_001842	1.1	0.4	0.7
IL19	29949	NM_013371	0.66	-0.04	0.7
AHSA1	10598	NM_012111	1.31	0.61	0.7
LRIG1	26018	NM_015541	0.67	-0.03	0.7
SSR4	6748	NM_006280	0.78	0.08	0.7
GLI3	2737	NM_000168	0.04	-0.66	0.7
TFCP2	7024	NM_005653	1.07	0.37	0.7
CETP	1071	NM_000078	-0.35	-1.05	0.7
CACH-1	134526	NM_130767	-0.34	-1.04	0.7
CYP7B1	9420	NM_004820	-0.28	-0.98	0.7
FCMD	2218	NM_006731	-0.52	-1.22	0.7
GLB1	2720	NM_000404	-0.43	-1.13	0.7
CPNE7	27132	NM_014427	0.96	0.26	0.7
CES2	8824	NM_003869	0.9	0.2	0.7
FBP1	2203	NM_000507	0.94	0.24	0.7
KIAA1181	57222	NM_020462	0.83	0.13	0.7
ATAD2	29028	NM_014109	-0.14	-0.84	0.7
SMYD5	10322	XM_039548	-0.3	-1	0.7
SORD	6652	NM_003104	-0.13	-0.83	0.7
RALB	5899	NM_002881	1.25	0.55	0.7
SPI1	6688	NM_003120	0.51	-0.19	0.7
AMACR	23600	NM_014324	0.94	0.24	0.7
ECE1	1889	NM_001397	0.23	-0.47	0.7
WAS	7454	NM_000377	-0.14	-0.84	0.7
PECAM1	5175	NM_000442	-0.41	-1.1	0.69
SP140	11262	NM_007237	-0.41	-1.1	0.69
MMP12	4321	NM_002426	-0.42	-1.11	0.69
ELOVL4	6785	NM_022726	1.34	0.65	0.69
CRYM	1428	NM_001888	0.15	-0.54	0.69
CNGB3	54714	NM_019098	-0.86	-1.55	0.69
CBR3	874	NM_001236	-0.08	-0.77	0.69
IFNA1	3439	NM_024013	-0.4	-1.09	0.69
WISP2	8839	NM_003881	0.23	-0.46	0.69
CDYL	9425	NM_004824	0.92	0.23	0.69
GKAP1	80318	NM_025211	-0.67	-1.36	0.69
ATP6V1H	51606	NM_015941	-0.68	-1.37	0.69
AK3L1	50808	NM_016282	2.13	1.44	0.69
CYP21A2	1589	NM_000500	-0.16	-0.85	0.69
IDS	3423	NM_000202	-0.17	-0.86	0.69
PECR	55825	NM_018441	-0.18	-0.87	0.69
TDP1	55775	NM_018319	-0.02	-0.71	0.69
USP11	8237	NM_004651	0.11	-0.58	0.69
COL6A3	1293	NM_004369	1.22	0.53	0.69
EAF2	55840	NM_018456	-0.25	-0.94	0.69
LOC124220	124220	NM_145252	1.72	1.03	0.69
MBD3L1	85509	NM_145208	0.47	-0.22	0.69
PRKCBP1	23613	NM_012408	0.3	-0.39	0.69
AAMP	14	NM_001087	0.42	-0.27	0.69
FSCN2	25794	NM_012418	0.22	-0.47	0.69
HPRP8BP	9410	NM_004814	0.22	-0.47	0.69
IRF6	3664	NM_006147	0.08	-0.61	0.69
TBPL1	9519	NM_004865	-0.26	-0.95	0.69
TLE3	7090	NM_005078	-0.51	-1.2	0.69
PAFAH2	5051	NM_000437	-0.26	-0.95	0.69
GJA3	2700	NM_021954	3.47	2.79	0.68
CKMT1	1159	NM_020990	0.77	0.09	0.68
MMP27	64066	NM_022122	-0.13	-0.81	0.68
PLEK	5341	NM_002664	1.6	0.92	0.68
CAPS	828	NM_004058	1.07	0.39	0.68
CDC42EP3	10602	NM_006449	-0.58	-1.26	0.68
FOXI1	2299	NM_012188	0.77	0.09	0.68
TEGT	7009	NM_003217	-0.35	-1.03	0.68
TMC1	117531	NM_138691	-0.93	-1.61	0.68
YME1L1	10730	NM_014263	-0.57	-1.25	0.68
PPGB	5476	NM_000308	0.65	-0.03	0.68
RASA2	5922	NM_006506	-0.63	-1.31	0.68
KCNS2	3788	XM_043106	1.2	0.52	0.68
FGF12	2257	NM_004113	1.01	0.33	0.68
SCN10A	6336	NM_006514	0.06	-0.62	0.68
DSC3	1825	NM_001941	0.73	0.05	0.68
HMMR	3161	NM_012484	-0.26	-0.94	0.68
NOVA1	4857	NM_002515	0.95	0.27	0.68
UGT1A4	54657	NM_007120	-0.14	-0.82	0.68
RNASET2	8635	NM_003730	-0.05	-0.73	0.68
HMGA1	3159	NM_002131	2.14	1.47	0.67
NR2F6	2063	NM_005234	1.09	0.42	0.67
FKBP5	2289	NM_004117	-0.45	-1.12	0.67
ADMR	11318	NM_007264	1.3	0.63	0.67
MEST	4232	NM_002402	-0.25	-0.92	0.67
UBE2A	7319	NM_003336	-0.13	-0.8	0.67
IL1R1	3554	NM_000877	1.31	0.64	0.67
KCNF1	3754	NM_002236	0.21	-0.46	0.67
MUTYH	4595	NM_012222	1.51	0.84	0.67
HES1	3280	NM_005524	0.22	-0.45	0.67
CIB3	117286	NM_054113	0.44	-0.23	0.67
ZNF198	7750	NM_003453	0.62	-0.05	0.67
HSPCB	3326	NM_007355	0.62	-0.05	0.67
ELF3	1999	NM_004433	1.07	0.4	0.67
DDX20	11218	NM_007204	-0.62	-1.29	0.67
ECEL1	9427	NM_004826	0.16	-0.51	0.67
NMUR1	10316	NM_006056	1.89	1.22	0.67
CTSO	1519	NM_001334	-0.27	-0.94	0.67
HLA-DQB1	3119	NM_002123	1.47	0.8	0.67
MS4A7	58475	NM_021201	1.19	0.52	0.67
COL10A1	1300	NM_000493	3.4	2.73	0.67
CCNB2	9133	NM_004701	1.14	0.47	0.67
PTN	5764	NM_002825	0.35	-0.32	0.67
APBB1	322	NM_001164	0.84	0.17	0.67
MFGE8	4240	NM_005928	0.18	-0.49	0.67
HSPB2	3316	NM_001541	0.42	-0.25	0.67
PTPN21	11099	NM_007039	2.58	1.92	0.66
PES1	23481	NM_014303	1.79	1.13	0.66
RBBP8	5932	NM_002894	1.79	1.13	0.66
ANXA3	306	NM_005139	-0.41	-1.07	0.66
AKT1	207	NM_005163	1.56	0.9	0.66
SDSL	113675	NM_138432	0.53	-0.13	0.66
CD80	941	NM_005191	0.89	0.23	0.66
CYP11A1	1583	NM_000781	0.5	-0.16	0.66
LZTFL1	54585	NM_020347	-0.21	-0.87	0.66
PITPN	5306	NM_006224	-0.13	-0.79	0.66
EHF	26298	NM_012153	-0.12	-0.78	0.66
TNPO2	30000	NM_013433	0.68	0.02	0.66
LNPEP	4012	NM_005575	0.23	-0.43	0.66
PLG	5340	NM_000301	-0.15	-0.81	0.66
ABR	29	NM_001092	-0.39	-1.05	0.66
GUCA2B	2981	NM_007102	-0.39	-1.05	0.66
TIMP3	7078	NM_000362	-0.23	-0.89	0.66
TIAM1	7074	NM_003253	-0.38	-1.04	0.66
CXCL3	2921	NM_002090	0.36	-0.3	0.66
CASP7	840	NM_001227	-0.56	-1.22	0.66
CPT1A	1374	NM_001876	-0.31	-0.97	0.66
PPM2C	54704	NM_018444	0.82	0.16	0.66
VDR	7421	NM_000376	2.02	1.36	0.66
FAM35A	54537	NM_019054	0.37	-0.29	0.66
SACS	26278	NM_014363	-0.5	-1.16	0.66
SCMH1	22955	NM_012236	0.41	-0.25	0.66
SCA7	6314	NM_000333	2.42	1.76	0.66
T	6862	NM_003181	-0.5	-1.16	0.66
TIMP1	7076	NM_003254	-0.05	-0.71	0.66
BRD4	23476	NM_014299	2.26	1.6	0.66
E2F2	1870	NM_004091	1.59	0.94	0.65
GABBR1	2550	NM_001470	0.92	0.27	0.65
IFNA16	3449	NM_002173	1.58	0.93	0.65
FCER2	2208	NM_002002	0.79	0.14	0.65
OBRGRP	54741	NM_017526	1.24	0.59	0.65
NPHS1	4868	NM_004646	-0.14	-0.79	0.65
ZNF347	84671	NM_032584	0.39	-0.26	0.65
CREB1	1385	NM_134442	1.22	0.57	0.65
CSDA	8531	NM_003651	0.01	-0.64	0.65
HOXB3	3213	NM_002146	0.49	-0.16	0.65
TIC	23550	NM_012455	0.43	-0.22	0.65
DNMT3A	1788	NM_022552	0.38	-0.27	0.65
ATP8A2	51761	NM_016529	-0.62	-1.27	0.65
ERBB4	2066	NM_005235	2.78	2.13	0.65
CX3CL1	6376	NM_002996	1.38	0.73	0.65
GRP	2922	NM_002091	1.72	1.07	0.65
CG018	90634	NM_052818	-0.18	-0.83	0.65
DELGEF	26297	NM_012139	0.57	-0.08	0.65
GP9	2815	NM_000174	-0.32	-0.97	0.65
BIRC5	332	NM_001168	0.95	0.3	0.65
NFKBIL2	4796	NM_013432	1.74	1.09	0.65
APOBEC3C	27350	NM_014508	0.58	-0.07	0.65
MX2	4600	NM_002463	-0.5	-1.15	0.65
CD4	920	NM_000616	2.94	2.3	0.64
FZD2	2535	NM_001466	1.86	1.22	0.64
CAPN10	11132	NM_021251	-0.47	-1.11	0.64
FMO1	2326	NM_002021	-0.45	-1.09	0.64
OR7E35P	391632	AF073924	1.35	0.71	0.64
KSR	8844	XM_290793	1.06	0.42	0.64
SEPHS2	22928	NM_012248	1.32	0.68	0.64
COX15	1355	NM_004376	0.28	-0.36	0.64
GMPR	2766	NM_006877	0.11	-0.53	0.64
PSMB9	5698	NM_002800	-0.14	-0.78	0.64
ENPP1	5167	NM_006208	0.62	-0.02	0.64
PDCD4	27250	NM_014456	0.6	-0.04	0.64
WDR4	10785	NM_018669	0.43	-0.21	0.64
FOXP3	50943	NM_014009	0.17	-0.47	0.64
HKR3	3104	NM_005341	-0.11	-0.75	0.64
ACADS	35	NM_000017	-0.11	-0.75	0.64
ALDH3A1	218	NM_000691	0.6	-0.04	0.64
INPP1	3628	NM_002194	-0.15	-0.79	0.64
PPP4R1L	55370	XM_086650	-0.15	-0.79	0.64
RAB11A	8766	NM_004663	-0.37	-1.01	0.64
ADAMDEC1	27299	NM_014479	-0.02	-0.66	0.64
FUK	197258	NM_145059	1.16	0.52	0.64
DISC1	27185	NM_018662	-0.33	-0.97	0.64
MPHOSPH6	10200	NM_005792	0.82	0.18	0.64
ANKRD5	63926	NM_022096	0.57	-0.07	0.64
CDH12	1010	NM_004061	1.43	0.79	0.64
NKX6-1	4825	NM_006168	0.58	-0.06	0.64
GPR7	2831	NM_005285	1.12	0.49	0.63
HRH1	3269	NM_000861	1.11	0.48	0.63
CPA2	1358	NM_001869	-0.44	-1.07	0.63
FLJ21865	64772	NM_022759	1.62	0.99	0.63
ALS2CR4	65062	NM_152388	1.36	0.73	0.63
DJ222E13.1	253190	NM_014509	1.37	0.74	0.63
MYO10	4651	NM_012334	-0.74	-1.37	0.63
CHM	1121	NM_000390	-0.95	-1.58	0.63
CASP14	23581	NM_012114	-0.17	-0.8	0.63
GAL3ST1	9514	NM_004861	-0.36	-0.99	0.63
CTSS	1520	NM_004079	-0.6	-1.23	0.63
PTGIS	5740	NM_000961	0.19	-0.44	0.63
SAT	6303	NM_002970	-0.1	-0.73	0.63
LRP3	4037	NM_002333	1.5	0.87	0.63
CEL	1056	NM_001807	0	-0.63	0.63
C7ORF2	64327	NM_022458	0.72	0.09	0.63
IFIT1	3434	NM_001548	0.68	0.05	0.63
OCLN	4950	NM_002538	-0.22	-0.85	0.63
FCN2	2220	NM_004108	-0.38	-1.01	0.63
MFHAS1	9258	NM_004225	-0.6	-1.23	0.63
TCFL5	10732	NM_006602	0.72	0.09	0.63
SOS1	6654	NM_0055633	1.53	0.9	0.63
JUN	3725	NM_002228	-0.24	-0.87	0.63
PKNOX1	5316	NM_004571	-0.17	-0.8	0.63
FBXL12	54850	NM_017703	0.21	-0.42	0.63
PEX6	5190	NM_000287	-0.05	-0.68	0.63
MRGPRF	219928	NM_145015	1.69	1.06	0.63
KIAA1026	23254	XM_048825	1.7	1.07	0.63
MAD2L2	10459	NM_006341	0.83	0.2	0.63
RAD21	5885	NM_006265	0.7	0.07	0.63
TBX19	9095	NM_005149	-0.33	-0.96	0.63
HTR1E	3354	NM_000865	3.35	2.73	0.62
OLR1	4973	NM_002543	1.79	1.17	0.62
GLO1	2739	NM_006708	0.55	-0.07	0.62
PHLDA2	7262	NM_003311	5.11	4.49	0.62
RHOH	399	NM_004310	-0.43	-1.05	0.62
ABP1	26	NM_001091	2.5	1.88	0.62
BCHE	590	NM_000055	-0.3	-0.92	0.62
MMP9	4318	NM_004994	-0.31	-0.93	0.62
ARHGAP5	394	NM_001173	-0.18	-0.8	0.62
DECR2	26063	NM_020664	0.59	-0.03	0.62
EXTL2	2135	NM_001439	-0.16	-0.78	0.62
GCSH	2653	NM_004483	0.37	-0.25	0.62
KIAA1363	57552	NM_020792	-0.01	-0.63	0.62
TFB2M	64216	NM_022366	-0.39	-1.01	0.62
IFITM2	10581	NM_006435	-0.21	-0.83	0.62
AGC1	176	NM_001135	0.25	-0.37	0.62
ZNF547	284306	NM_173631	-0.36	-0.98	0.62
MLLT6	4302	NM_005937	0.71	0.09	0.62
XPNPEP1	7511	NM_020383	0.21	-0.41	0.62
BLM	641	NM_000057	-0.35	-0.97	0.62
PPP2R4	5524	NM_021131	0.12	-0.5	0.62
GZMB	3002	NM_004131	-0.34	-0.96	0.62
USP5	8078	NM_003481	1.14	0.52	0.62
RFX4	5992	NM_002920	-0.51	-1.13	0.62
GPR54	84634	NM_032551	1.85	1.24	0.61
NDUFS7	374291	NM_024407	-0.5	-1.11	0.61
ABCB1	5243	NM_000927	1.59	0.98	0.61
GRIN2C	2905	NM_000835	1.35	0.74	0.61
NKTR	4820	NM_005385	-0.31	-0.92	0.61
WASF1	8936	NM_003931	-0.46	-1.07	0.61
GTF2A2	2958	NM_004492	-0.32	-0.93	0.61
NFYA	4800	NM_002505	1.03	0.42	0.61
ZFP36L1	677	NM_004926	0.54	-0.07	0.61
ASS	445	NM_000050	-0.75	-1.36	0.61
EI24	9538	NM_004879	0.68	0.07	0.61
MAN2B1	4125	NM_000528	-0.22	-0.83	0.61
USP31	57478	NM_020718	-0.15	-0.76	0.61
IGHM	3507	BC020240	0.18	-0.43	0.61
ITGBL1	9358	NM_004791	-0.04	-0.65	0.61
PERP	64065	NM_022121	0.47	-0.14	0.61
HSPA4	3308	NM_002154	-0.39	-1	0.61
HOXA11	3207	NM_005523	0.78	0.17	0.61
OTC	5009	NM_000531	-0.65	-1.26	0.61
SMARCA4	6597	NM_003072	-0.12	-0.73	0.61
HIPK3	10114	NM_005734	2.8	2.19	0.61
NR1H4	9971	NM_005123	3.59	2.98	0.61
SMAD3	4088	NM_005902	-0.79	-1.4	0.61
ECGF1	1890	NM_001953	-0.78	-1.39	0.61
IHH	3549	XM_050846	-0.78	-1.39	0.61
AK7	122481	NM_152327	1.1	0.5	0.6
BRE	9577	NM_004899	0.06	-0.54	0.6
HRB	3267	NM_004504	0.32	-0.28	0.6
ABCG8	64241	NM_022437	-0.08	-0.68	0.6
CLTA	1211	NM_001833	2.66	2.06	0.6
SERPIND1	3053	NM_000185	1.02	0.42	0.6
ID3	3399	NM_002167	-0.73	-1.33	0.6
NFATC2	4773	NM_012340	-0.33	-0.93	0.6
TFEC	22797	NM_012252	-0.52	-1.12	0.6
UQCR	10975	NM_006830	-0.19	-0.79	0.6
CYP17A1	1586	NM_000102	-0.52	-1.12	0.6
RBPSUH	3516	NM_005349	-0.18	-0.78	0.6
GPR113	165082	NM_153835	1.48	0.88	0.6
NCOA6IP	96764	NM_024831	-0.37	-0.97	0.6
TRPC7	57113	NM_020389	0.69	0.09	0.6
DLG7	9787	NM_014750	0.87	0.27	0.6
FARSLA	2193	NM_004461	0.12	-0.48	0.6
PAQR3	152559	NM_177453	-0.64	-1.24	0.6
PBP	5037	NM_002567	0	-0.6	0.6
CARD15	64127	NM_022162	-0.05	-0.65	0.6
PCDHA3	56145	NM_018906	-0.92	-1.52	0.6
PEPP2	54477	NM_019012	-0.38	-0.98	0.6
ISGF3G	10379	NM_006084	-0.04	-0.64	0.6
MTERF	7978	NM_006980	-0.67	-1.27	0.6
SKIIP	22938	NM_012245	0.44	-0.16	0.6
CUGBP1	10658	NM_006560	-0.28	-0.88	0.6
SH3GL2	6456	NM_003026	-0.35	-0.95	0.6
HPS3	84343	NM_032383	-0.55	-1.15	0.6
GHRHR	2692	NM_000823	0.66	0.07	0.59
PPP2R5D	5528	NM_006245	1.08	0.49	0.59
PPM1A	5494	NM_021003	1.76	1.17	0.59
CD2BP2	10421	NM_006110	1.55	0.96	0.59
GTF2H4	2968	NM_001517	0.93	0.34	0.59
KIAA1622	57718	NM_020958	1.62	1.03	0.59
MCTS1	28985	NM_014060	0.31	-0.28	0.59
MPST	4357	NM_021126	1.6	1.01	0.59
RBP4	5950	NM_006744	2.1	1.51	0.59
SCN7A	6332	NM_002976	0.68	0.09	0.59
MI-ER1	57708	NM_020948	0.34	-0.25	0.59
TAF9L	51616	NM_015975	-0.47	-1.06	0.59
SPEC1	56882	NM_020239	-0.21	-0.8	0.59
ETV6	2120	NM_001987	-0.34	-0.93	0.59
TRPS1	7227	NM_014112	0.45	-0.14	0.59
ALDRL6	55586	NM_017584	2.58	1.99	0.59
ADAM28	10863	NM_014265	-0.2	-0.79	0.59
ADAMTS4	9507	NM_005099	-0.29	-0.88	0.59
MMP13	4322	NM_002427	-0.44	-1.03	0.59
LYPLA3	23659	NM_012320	-0.39	-0.98	0.59
MBP	4155	NM_002385	1.27	0.68	0.59
OCRL	4952	NM_000276	0.48	-0.11	0.59
XBP1	7494	NM_005080	-0.24	-0.83	0.59
ZNF10	7556	NM_015394	-0.85	-1.44	0.59
PSAP	5660	NM_002778	0.63	0.04	0.59
ACPT	93650	NM_033068	0.71	0.12	0.59
ADAMTS10	81794	NM_030957	0.83	0.24	0.59
TOP2A	7153	NM_001067	0.43	-0.16	0.59
MEP1A	4224	NM_005588	-0.89	-1.48	0.59
NRAS	4893	NM_002524	-0.87	-1.46	0.59
PTGS1	5742	NM_000962	-0.28	-0.87	0.59
FALZ	2186	NM_004459	1.39	0.8	0.59
UBE2N	7334	NM_003348	1.15	0.56	0.59
PRKAG3	53632	NM_017431	1.76	1.18	0.58
GPR14	2837	NM_018949	3.96	3.38	0.58
